Varco,Data,Passaggi 24h
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/22/2015,8237
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/23/2015,8162
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/24/2015,10141
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/25/2015,6822
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/26/2015,4950
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/27/2015,9449
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/28/2015,9732
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/29/2015,9785
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/30/2015,9917
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/31/2015,9804
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/01/2015,6738
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/02/2015,4423
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/03/2015,8228
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/04/2015,7712
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/05/2015,8006
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/06/2015,7211
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/07/2015,6865
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/08/2015,4081
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/09/2015,2964
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/10/2015,5780
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/11/2015,5210
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/12/2015,4736
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/13/2015,4638
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/14/2015,5192
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/15/2015,2449
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/16/2015,2894
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/17/2015,5132
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/18/2015,5371
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/19/2015,5352
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/20/2015,5389
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/21/2015,5743
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/22/2015,4499
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/23/2015,3508
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/24/2015,6899
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/25/2015,7353
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/26/2015,7558
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/27/2015,7885
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/28/2015,8057
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/29/2015,5102
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/30/2015,4073
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,08/31/2015,8725
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/01/2015,9511
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/02/2015,9710
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/03/2015,9952
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/04/2015,10519
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/05/2015,7265
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/06/2015,5594
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/07/2015,10137
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/08/2015,10015
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/09/2015,10550
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/10/2015,10442
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/11/2015,11078
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/12/2015,7759
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/13/2015,5947
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/14/2015,10262
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/15/2015,10516
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/16/2015,10873
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/17/2015,10632
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/18/2015,11534
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/19/2015,8204
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/20/2015,6162
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/21/2015,10382
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/22/2015,10607
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/23/2015,10819
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/24/2015,10901
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/25/2015,11406
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/26/2015,8148
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/27/2015,6089
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/28/2015,10515
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/29/2015,10389
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,09/30/2015,10820
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/01/2015,4031
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/02/2015,3904
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/03/2015,4236
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/04/2015,2814
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/05/2015,1987
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/06/2015,3798
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/07/2015,3782
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/08/2015,3768
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/09/2015,3854
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/10/2015,4141
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/11/2015,2825
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/12/2015,1966
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/13/2015,3737
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/14/2015,3813
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/15/2015,3861
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/16/2015,3967
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/17/2015,4079
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/18/2015,2652
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/19/2015,1892
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/20/2015,3736
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/21/2015,3751
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/22/2015,3755
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/23/2015,3659
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/24/2015,3900
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/25/2015,2674
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/26/2015,1867
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/27/2015,3640
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/28/2015,3735
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/29/2015,3637
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/30/2015,3724
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,07/31/2015,3909
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/01/2015,2562
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/02/2015,1758
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/03/2015,3221
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/04/2015,3084
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/05/2015,3003
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/06/2015,3072
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/07/2015,2969
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/08/2015,2067
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/09/2015,1415
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/10/2015,2052
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/11/2015,1993
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/12/2015,1922
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/13/2015,1858
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/14/2015,1825
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/15/2015,1171
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/16/2015,1097
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/17/2015,1705
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/18/2015,1816
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/19/2015,1817
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/20/2015,1860
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/21/2015,1939
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/22/2015,1601
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/23/2015,1331
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/24/2015,2468
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/25/2015,2665
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/26/2015,2714
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/27/2015,2801
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/28/2015,3044
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/29/2015,2234
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/30/2015,1759
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,08/31/2015,3484
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/01/2015,3749
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/02/2015,3772
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/03/2015,3774
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/04/2015,3950
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/05/2015,2822
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/06/2015,2075
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/07/2015,3905
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/08/2015,3847
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/09/2015,3906
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/10/2015,3926
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/11/2015,4158
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/12/2015,2994
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/13/2015,1986
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/14/2015,4065
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/15/2015,3948
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/16/2015,3946
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/17/2015,4076
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/18/2015,4269
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/19/2015,3109
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/20/2015,2165
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/21/2015,3968
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/22/2015,3967
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/23/2015,3827
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/24/2015,4047
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/25/2015,4298
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/26/2015,3132
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/27/2015,2329
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/28/2015,3925
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/29/2015,4033
S.P. 203 GAGGIANO - BINASCO al Km 6+032 Dir. BINASCO,09/30/2015,4112
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/01/2015,11792
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/02/2015,11771
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/03/2015,12455
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/04/2015,8209
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/05/2015,7171
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/06/2015,11872
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/07/2015,11004
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/08/2015,10652
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/09/2015,6411
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/10/2015,0
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/11/2015,0
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/12/2015,0
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/13/2015,6819
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/14/2015,11791
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/15/2015,11487
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/16/2015,12119
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/17/2015,12617
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/18/2015,8203
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/19/2015,7100
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/20/2015,11508
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/21/2015,11754
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/22/2015,11925
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/23/2015,11956
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/24/2015,12684
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/25/2015,8252
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/26/2015,7250
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/27/2015,11547
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/28/2015,12273
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/29/2015,11658
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/30/2015,12208
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,07/31/2015,11948
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/01/2015,7772
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/02/2015,6764
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/03/2015,10454
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/04/2015,10504
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/05/2015,10471
